source_rank,company_name,domain,api_name,requested_contact,field,status,reason,raw_response_path
1,DBS Group,dbs.com,Apollo People Search API,Company level,Verified work email + confidence,Not Tested,No verified work email returned in parsed contacts.,raw/apollo/data/dbs_group.json
1,DBS Group,dbs.com,Apollo People Search API,Company level,Direct/mobile phone + confidence,Not Tested,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,raw/apollo/data/dbs_group.json
1,DBS Group,dbs.com,Apollo People Search API,Company level,"Title, seniority, department",Not Tested,No title/seniority/department returned in parsed contacts.,raw/apollo/data/dbs_group.json
1,DBS Group,dbs.com,Apollo People Search API,Company level,Reports-to / org-chart hierarchy,Not Tested,No reports-to/org-chart hierarchy returned.,raw/apollo/data/dbs_group.json
1,DBS Group,dbs.com,Apollo People Search API,Company level,LinkedIn URL,Not Tested,No LinkedIn URL returned in parsed contacts.,raw/apollo/data/dbs_group.json
1,DBS Group,dbs.com,Apollo People Search API,Company level,Match rate per requested contact,Not Tested,No matched contacts returned.,raw/apollo/data/dbs_group.json
2,Singapore Telecommunications,singtel.com,Apollo People Search API,Company level,Verified work email + confidence,Not Tested,No verified work email returned in parsed contacts.,raw/apollo/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Apollo People Search API,Company level,Direct/mobile phone + confidence,Not Tested,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,raw/apollo/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Apollo People Search API,Company level,"Title, seniority, department",Not Tested,No title/seniority/department returned in parsed contacts.,raw/apollo/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Apollo People Search API,Company level,Reports-to / org-chart hierarchy,Not Tested,No reports-to/org-chart hierarchy returned.,raw/apollo/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Apollo People Search API,Company level,LinkedIn URL,Not Tested,No LinkedIn URL returned in parsed contacts.,raw/apollo/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Apollo People Search API,Company level,Match rate per requested contact,Not Tested,No matched contacts returned.,raw/apollo/data/singapore_telecommunications.json
3,United Overseas Bank,uobgroup.com,Apollo People Search API,Company level,Verified work email + confidence,Not Tested,No verified work email returned in parsed contacts.,raw/apollo/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Apollo People Search API,Company level,Direct/mobile phone + confidence,Not Tested,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,raw/apollo/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Apollo People Search API,Company level,"Title, seniority, department",Not Tested,No title/seniority/department returned in parsed contacts.,raw/apollo/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Apollo People Search API,Company level,Reports-to / org-chart hierarchy,Not Tested,No reports-to/org-chart hierarchy returned.,raw/apollo/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Apollo People Search API,Company level,LinkedIn URL,Not Tested,No LinkedIn URL returned in parsed contacts.,raw/apollo/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Apollo People Search API,Company level,Match rate per requested contact,Not Tested,No matched contacts returned.,raw/apollo/data/united_overseas_bank.json
4,ST Engineering,stengg.com,Apollo People Search API,Company level,Verified work email + confidence,Not Tested,No verified work email returned in parsed contacts.,raw/apollo/data/st_engineering.json
4,ST Engineering,stengg.com,Apollo People Search API,Company level,Direct/mobile phone + confidence,Not Tested,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,raw/apollo/data/st_engineering.json
4,ST Engineering,stengg.com,Apollo People Search API,Company level,"Title, seniority, department",Not Tested,No title/seniority/department returned in parsed contacts.,raw/apollo/data/st_engineering.json
4,ST Engineering,stengg.com,Apollo People Search API,Company level,Reports-to / org-chart hierarchy,Not Tested,No reports-to/org-chart hierarchy returned.,raw/apollo/data/st_engineering.json
4,ST Engineering,stengg.com,Apollo People Search API,Company level,LinkedIn URL,Not Tested,No LinkedIn URL returned in parsed contacts.,raw/apollo/data/st_engineering.json
4,ST Engineering,stengg.com,Apollo People Search API,Company level,Match rate per requested contact,Not Tested,No matched contacts returned.,raw/apollo/data/st_engineering.json
5,Toyota Motor Corporation,global.toyota,Apollo People Search API,Company level,Verified work email + confidence,Not Tested,No verified work email returned in parsed contacts.,raw/apollo/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,Apollo People Search API,Company level,Direct/mobile phone + confidence,Not Tested,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,raw/apollo/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,Apollo People Search API,Company level,"Title, seniority, department",Not Tested,No title/seniority/department returned in parsed contacts.,raw/apollo/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,Apollo People Search API,Company level,Reports-to / org-chart hierarchy,Not Tested,No reports-to/org-chart hierarchy returned.,raw/apollo/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,Apollo People Search API,Company level,LinkedIn URL,Not Tested,No LinkedIn URL returned in parsed contacts.,raw/apollo/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,Apollo People Search API,Company level,Match rate per requested contact,Not Tested,No matched contacts returned.,raw/apollo/data/toyota_motor_corporation.json
6,Sony Group Corporation,sony.com,Apollo People Search API,Company level,Verified work email + confidence,Not Tested,No verified work email returned in parsed contacts.,raw/apollo/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,Apollo People Search API,Company level,Direct/mobile phone + confidence,Not Tested,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,raw/apollo/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,Apollo People Search API,Company level,"Title, seniority, department",Not Tested,No title/seniority/department returned in parsed contacts.,raw/apollo/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,Apollo People Search API,Company level,Reports-to / org-chart hierarchy,Not Tested,No reports-to/org-chart hierarchy returned.,raw/apollo/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,Apollo People Search API,Company level,LinkedIn URL,Not Tested,No LinkedIn URL returned in parsed contacts.,raw/apollo/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,Apollo People Search API,Company level,Match rate per requested contact,Not Tested,No matched contacts returned.,raw/apollo/data/sony_group_corporation.json
7,Samsung Electronics,samsung.com,Apollo People Search API,Company level,Verified work email + confidence,Not Tested,No verified work email returned in parsed contacts.,raw/apollo/data/samsung_electronics.json
7,Samsung Electronics,samsung.com,Apollo People Search API,Company level,Direct/mobile phone + confidence,Not Tested,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,raw/apollo/data/samsung_electronics.json
7,Samsung Electronics,samsung.com,Apollo People Search API,Company level,"Title, seniority, department",Not Tested,No title/seniority/department returned in parsed contacts.,raw/apollo/data/samsung_electronics.json
7,Samsung Electronics,samsung.com,Apollo People Search API,Company level,Reports-to / org-chart hierarchy,Not Tested,No reports-to/org-chart hierarchy returned.,raw/apollo/data/samsung_electronics.json
7,Samsung Electronics,samsung.com,Apollo People Search API,Company level,LinkedIn URL,Not Tested,No LinkedIn URL returned in parsed contacts.,raw/apollo/data/samsung_electronics.json
7,Samsung Electronics,samsung.com,Apollo People Search API,Company level,Match rate per requested contact,Not Tested,No matched contacts returned.,raw/apollo/data/samsung_electronics.json
8,SK Hynix,skhynix.com,Apollo People Search API,Company level,Verified work email + confidence,Not Tested,No verified work email returned in parsed contacts.,raw/apollo/data/sk_hynix.json
8,SK Hynix,skhynix.com,Apollo People Search API,Company level,Direct/mobile phone + confidence,Not Tested,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,raw/apollo/data/sk_hynix.json
8,SK Hynix,skhynix.com,Apollo People Search API,Company level,"Title, seniority, department",Not Tested,No title/seniority/department returned in parsed contacts.,raw/apollo/data/sk_hynix.json
8,SK Hynix,skhynix.com,Apollo People Search API,Company level,Reports-to / org-chart hierarchy,Not Tested,No reports-to/org-chart hierarchy returned.,raw/apollo/data/sk_hynix.json
8,SK Hynix,skhynix.com,Apollo People Search API,Company level,LinkedIn URL,Not Tested,No LinkedIn URL returned in parsed contacts.,raw/apollo/data/sk_hynix.json
8,SK Hynix,skhynix.com,Apollo People Search API,Company level,Match rate per requested contact,Not Tested,No matched contacts returned.,raw/apollo/data/sk_hynix.json
9,Infosys,infosys.com,Apollo People Search API,Company level,Verified work email + confidence,Not Tested,No verified work email returned in parsed contacts.,raw/apollo/data/infosys.json
9,Infosys,infosys.com,Apollo People Search API,Company level,Direct/mobile phone + confidence,Not Tested,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,raw/apollo/data/infosys.json
9,Infosys,infosys.com,Apollo People Search API,Company level,"Title, seniority, department",Not Tested,No title/seniority/department returned in parsed contacts.,raw/apollo/data/infosys.json
9,Infosys,infosys.com,Apollo People Search API,Company level,Reports-to / org-chart hierarchy,Not Tested,No reports-to/org-chart hierarchy returned.,raw/apollo/data/infosys.json
9,Infosys,infosys.com,Apollo People Search API,Company level,LinkedIn URL,Not Tested,No LinkedIn URL returned in parsed contacts.,raw/apollo/data/infosys.json
9,Infosys,infosys.com,Apollo People Search API,Company level,Match rate per requested contact,Not Tested,No matched contacts returned.,raw/apollo/data/infosys.json
10,BHP,bhp.com,Apollo People Search API,Company level,Verified work email + confidence,Not Tested,No verified work email returned in parsed contacts.,raw/apollo/data/bhp.json
10,BHP,bhp.com,Apollo People Search API,Company level,Direct/mobile phone + confidence,Not Tested,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,raw/apollo/data/bhp.json
10,BHP,bhp.com,Apollo People Search API,Company level,"Title, seniority, department",Not Tested,No title/seniority/department returned in parsed contacts.,raw/apollo/data/bhp.json
10,BHP,bhp.com,Apollo People Search API,Company level,Reports-to / org-chart hierarchy,Not Tested,No reports-to/org-chart hierarchy returned.,raw/apollo/data/bhp.json
10,BHP,bhp.com,Apollo People Search API,Company level,LinkedIn URL,Not Tested,No LinkedIn URL returned in parsed contacts.,raw/apollo/data/bhp.json
10,BHP,bhp.com,Apollo People Search API,Company level,Match rate per requested contact,Not Tested,No matched contacts returned.,raw/apollo/data/bhp.json
1,DBS Group,dbs.com,Apollo People Enrichment API,Company level,Verified work email + confidence,Not Available,No verified work email returned in parsed contacts.,raw/apollo_enrichment/data/dbs_group__nico_herman.json
1,DBS Group,dbs.com,Apollo People Enrichment API,Company level,Direct/mobile phone + confidence,Not Available,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,raw/apollo_enrichment/data/dbs_group__nico_herman.json
1,DBS Group,dbs.com,Apollo People Enrichment API,Company level,Reports-to / org-chart hierarchy,Not Available,No reports-to/org-chart hierarchy returned.,raw/apollo_enrichment/data/dbs_group__nico_herman.json
1,DBS Group,dbs.com,Apollo People Enrichment API,Company level,Match rate per requested contact,Not Available,No matched contacts returned.,raw/apollo_enrichment/data/dbs_group__nico_herman.json
2,Singapore Telecommunications,singtel.com,Apollo People Enrichment API,Company level,Verified work email + confidence,Not Available,No verified work email returned in parsed contacts.,raw/apollo_enrichment/data/singapore_telecommunications__shannon_kok.json
2,Singapore Telecommunications,singtel.com,Apollo People Enrichment API,Company level,Direct/mobile phone + confidence,Not Available,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,raw/apollo_enrichment/data/singapore_telecommunications__shannon_kok.json
2,Singapore Telecommunications,singtel.com,Apollo People Enrichment API,Company level,Reports-to / org-chart hierarchy,Not Available,No reports-to/org-chart hierarchy returned.,raw/apollo_enrichment/data/singapore_telecommunications__shannon_kok.json
2,Singapore Telecommunications,singtel.com,Apollo People Enrichment API,Company level,Match rate per requested contact,Not Available,No matched contacts returned.,raw/apollo_enrichment/data/singapore_telecommunications__shannon_kok.json
3,United Overseas Bank,uobgroup.com,Apollo People Enrichment API,Company level,Verified work email + confidence,Not Available,No verified work email returned in parsed contacts.,raw/apollo_enrichment/data/united_overseas_bank__jianzhuang_zhao.json
3,United Overseas Bank,uobgroup.com,Apollo People Enrichment API,Company level,Direct/mobile phone + confidence,Not Available,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,raw/apollo_enrichment/data/united_overseas_bank__jianzhuang_zhao.json
3,United Overseas Bank,uobgroup.com,Apollo People Enrichment API,Company level,Reports-to / org-chart hierarchy,Not Available,No reports-to/org-chart hierarchy returned.,raw/apollo_enrichment/data/united_overseas_bank__jianzhuang_zhao.json
3,United Overseas Bank,uobgroup.com,Apollo People Enrichment API,Company level,Match rate per requested contact,Not Available,No matched contacts returned.,raw/apollo_enrichment/data/united_overseas_bank__jianzhuang_zhao.json
4,ST Engineering,stengg.com,Apollo People Enrichment API,Company level,Verified work email + confidence,Not Available,No verified work email returned in parsed contacts.,
4,ST Engineering,stengg.com,Apollo People Enrichment API,Company level,Direct/mobile phone + confidence,Not Available,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,
4,ST Engineering,stengg.com,Apollo People Enrichment API,Company level,"Title, seniority, department",Not Available,No title/seniority/department returned in parsed contacts.,
4,ST Engineering,stengg.com,Apollo People Enrichment API,Company level,Reports-to / org-chart hierarchy,Not Available,No reports-to/org-chart hierarchy returned.,
4,ST Engineering,stengg.com,Apollo People Enrichment API,Company level,LinkedIn URL,Not Available,No LinkedIn URL returned in parsed contacts.,
4,ST Engineering,stengg.com,Apollo People Enrichment API,Company level,Match rate per requested contact,Not Available,No matched contacts returned.,
5,Toyota Motor Corporation,global.toyota,Apollo People Enrichment API,Company level,Verified work email + confidence,Not Available,No verified work email returned in parsed contacts.,
5,Toyota Motor Corporation,global.toyota,Apollo People Enrichment API,Company level,Direct/mobile phone + confidence,Not Available,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,
5,Toyota Motor Corporation,global.toyota,Apollo People Enrichment API,Company level,"Title, seniority, department",Not Available,No title/seniority/department returned in parsed contacts.,
5,Toyota Motor Corporation,global.toyota,Apollo People Enrichment API,Company level,Reports-to / org-chart hierarchy,Not Available,No reports-to/org-chart hierarchy returned.,
5,Toyota Motor Corporation,global.toyota,Apollo People Enrichment API,Company level,LinkedIn URL,Not Available,No LinkedIn URL returned in parsed contacts.,
5,Toyota Motor Corporation,global.toyota,Apollo People Enrichment API,Company level,Match rate per requested contact,Not Available,No matched contacts returned.,
6,Sony Group Corporation,sony.com,Apollo People Enrichment API,Company level,Verified work email + confidence,Not Available,No verified work email returned in parsed contacts.,
6,Sony Group Corporation,sony.com,Apollo People Enrichment API,Company level,Direct/mobile phone + confidence,Not Available,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,
6,Sony Group Corporation,sony.com,Apollo People Enrichment API,Company level,"Title, seniority, department",Not Available,No title/seniority/department returned in parsed contacts.,
6,Sony Group Corporation,sony.com,Apollo People Enrichment API,Company level,Reports-to / org-chart hierarchy,Not Available,No reports-to/org-chart hierarchy returned.,
6,Sony Group Corporation,sony.com,Apollo People Enrichment API,Company level,LinkedIn URL,Not Available,No LinkedIn URL returned in parsed contacts.,
6,Sony Group Corporation,sony.com,Apollo People Enrichment API,Company level,Match rate per requested contact,Not Available,No matched contacts returned.,
7,Samsung Electronics,samsung.com,Apollo People Enrichment API,Company level,Verified work email + confidence,Not Available,No verified work email returned in parsed contacts.,
7,Samsung Electronics,samsung.com,Apollo People Enrichment API,Company level,Direct/mobile phone + confidence,Not Available,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,
7,Samsung Electronics,samsung.com,Apollo People Enrichment API,Company level,"Title, seniority, department",Not Available,No title/seniority/department returned in parsed contacts.,
7,Samsung Electronics,samsung.com,Apollo People Enrichment API,Company level,Reports-to / org-chart hierarchy,Not Available,No reports-to/org-chart hierarchy returned.,
7,Samsung Electronics,samsung.com,Apollo People Enrichment API,Company level,LinkedIn URL,Not Available,No LinkedIn URL returned in parsed contacts.,
7,Samsung Electronics,samsung.com,Apollo People Enrichment API,Company level,Match rate per requested contact,Not Available,No matched contacts returned.,
8,SK Hynix,skhynix.com,Apollo People Enrichment API,Company level,Verified work email + confidence,Not Available,No verified work email returned in parsed contacts.,
8,SK Hynix,skhynix.com,Apollo People Enrichment API,Company level,Direct/mobile phone + confidence,Not Available,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,
8,SK Hynix,skhynix.com,Apollo People Enrichment API,Company level,"Title, seniority, department",Not Available,No title/seniority/department returned in parsed contacts.,
8,SK Hynix,skhynix.com,Apollo People Enrichment API,Company level,Reports-to / org-chart hierarchy,Not Available,No reports-to/org-chart hierarchy returned.,
8,SK Hynix,skhynix.com,Apollo People Enrichment API,Company level,LinkedIn URL,Not Available,No LinkedIn URL returned in parsed contacts.,
8,SK Hynix,skhynix.com,Apollo People Enrichment API,Company level,Match rate per requested contact,Not Available,No matched contacts returned.,
9,Infosys,infosys.com,Apollo People Enrichment API,Company level,Verified work email + confidence,Not Available,No verified work email returned in parsed contacts.,
9,Infosys,infosys.com,Apollo People Enrichment API,Company level,Direct/mobile phone + confidence,Not Available,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,
9,Infosys,infosys.com,Apollo People Enrichment API,Company level,"Title, seniority, department",Not Available,No title/seniority/department returned in parsed contacts.,
9,Infosys,infosys.com,Apollo People Enrichment API,Company level,Reports-to / org-chart hierarchy,Not Available,No reports-to/org-chart hierarchy returned.,
9,Infosys,infosys.com,Apollo People Enrichment API,Company level,LinkedIn URL,Not Available,No LinkedIn URL returned in parsed contacts.,
9,Infosys,infosys.com,Apollo People Enrichment API,Company level,Match rate per requested contact,Not Available,No matched contacts returned.,
10,BHP,bhp.com,Apollo People Enrichment API,Company level,Verified work email + confidence,Not Available,No verified work email returned in parsed contacts.,
10,BHP,bhp.com,Apollo People Enrichment API,Company level,Direct/mobile phone + confidence,Not Available,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,
10,BHP,bhp.com,Apollo People Enrichment API,Company level,"Title, seniority, department",Not Available,No title/seniority/department returned in parsed contacts.,
10,BHP,bhp.com,Apollo People Enrichment API,Company level,Reports-to / org-chart hierarchy,Not Available,No reports-to/org-chart hierarchy returned.,
10,BHP,bhp.com,Apollo People Enrichment API,Company level,LinkedIn URL,Not Available,No LinkedIn URL returned in parsed contacts.,
10,BHP,bhp.com,Apollo People Enrichment API,Company level,Match rate per requested contact,Not Available,No matched contacts returned.,
