source_rank,company_name,domain,api_name,active_job_count_total,active_job_count_sg,roles_by_function,hiring_velocity_90_days,job_locations,posting_first_seen_date,source_urls,sample_job_count,data_completeness_percent,raw_response_path
1,DBS Group,dbs.com,Coresignal Multi-source Company Jobs Signals,1314,0,engineering: 29; design: 3; it: 36; sales: 64; operations: 139; other: 729,352,Not Available,Not Available,Not Available,1000,57.14,raw/coresignal/data/dbs_group.json
2,Singapore Telecommunications,singtel.com,Coresignal Multi-source Company Jobs Signals,343,0,engineering: 116; design: 12; it: 31; sales: 11; operations: 13; other: 160,-53,Not Available,Not Available,Not Available,343,57.14,raw/coresignal/data/singapore_telecommunications.json
3,United Overseas Bank,uobgroup.com,Coresignal Multi-source Company Jobs Signals,980,0,engineering: 55; design: 1; it: 59; sales: 70; operations: 65; other: 730,228,Not Available,Not Available,Not Available,980,57.14,raw/coresignal/data/united_overseas_bank.json
4,ST Engineering,stengg.com,Coresignal Multi-source Company Jobs Signals,326,0,engineering: 173; design: 0; it: 21; sales: 11; operations: 9; other: 112,228,Not Available,Not Available,Not Available,326,57.14,raw/coresignal/data/st_engineering.json
5,Toyota Motor Corporation,global.toyota,Coresignal Multi-source Company Jobs Signals,0,0,Not Available,-109,Not Available,Not Available,Not Available,0,28.57,raw/coresignal/data/toyota_motor_corporation.json
6,Sony Group Corporation,sony.com,Coresignal Multi-source Company Jobs Signals,36,0,engineering: 10; design: 0; it: 2; sales: 1; operations: 1; other: 22,-40,Not Available,Not Available,Not Available,36,57.14,raw/coresignal/data/sony_group_corporation.json
7,Samsung Electronics,samsung.com,Coresignal Multi-source Company Jobs Signals,21,0,engineering: 0; design: 0; it: 1; sales: 5; operations: 0; other: 15,-13,Not Available,Not Available,Not Available,21,57.14,raw/coresignal/data/samsung_electronics.json
8,SK Hynix,skhynix.com,Coresignal Multi-source Company Jobs Signals,5,0,engineering: 1; design: 4; it: 0; sales: 0; operations: 0; other: 0,5,Not Available,Not Available,Not Available,5,57.14,raw/coresignal/data/sk_hynix.json
9,Infosys,infosys.com,Coresignal Multi-source Company Jobs Signals,2811,0,engineering: 239; design: 9; it: 137; sales: 15; operations: 7; other: 593,412,Not Available,Not Available,Not Available,1000,57.14,raw/coresignal/data/infosys.json
10,BHP,bhp.com,Coresignal Multi-source Company Jobs Signals,176,0,engineering: 22; design: 0; it: 6; sales: 0; operations: 8; other: 140,29,Not Available,Not Available,Not Available,176,57.14,raw/coresignal/data/bhp.json
1,DBS Group,dbs.com,TheirStack Job Search API,11994,3873,engineering: 1; design: 0; it: 1; sales: 0; operations: 3; other: 5,10,"Hong Kong; Kwun Tong; Mumbai; SG; Singapore; Taipei, Taipei City; 台北市",2026-06-12,https://hk.linkedin.com/jobs/view/treasures-elite-consumer-banking-group-at-dbs-bank-4427936655; https://tw.linkedin.com/jobs/view/senior-associate-avp-specialist-product-management-deposits-secured-loans-consumer-banking-group-at-dbs-bank-4427904189; https://sg.linkedin.com/jobs/view/network-infrastructure-specialist-at-dbs-bank-4427905190; https://sg.linkedin.com/jobs/view/avp-senior-associate-innovation-analyst-transformation-and-data-group-coo-at-dbs-bank-4427948502; https://sg.linkedin.com/jobs/view/assoc-site-reliability-engineer-applicaiton-support-global-financial-markets-technology-group-technology-at-dbs-bank-4428105270; https://hk.linkedin.com/jobs/view/avp-treasures-rm-consumer-banking-group-at-dbs-bank-4427933678; https://dbs.wd3.myworkdayjobs.com/en-US/DBS_Careers/job/Taipei/AVP--Credit-Analysis--Corporate-Banking--Institutional-Banking-Group_WD85569-1; https://hk.linkedin.com/jobs/view/senior-vice-president-vice-president-head-of-corp-account-services-corporeate-banking-group-operations-at-dbs-bank-4427904190; https://www.naukri.com/job-listings-analyst-branch-operations-and-services-manager-dbs-bank-ltd-mumbai-4-to-6-years-120626504213; https://hk.linkedin.com/jobs/view/senior-vice-president-head-of-cash-operations-institution-banking-group-operations-at-dbs-bank-4427916083,10,100.00,raw/theirstack/data/dbs_group.json
2,Singapore Telecommunications,singtel.com,TheirStack Job Search API,6577,5131,engineering: 2; design: 0; it: 2; sales: 0; operations: 0; other: 6,10,"Kuala Lumpur, Federal Territory of Kuala Lumpur; Singapore",2026-06-12,https://my.linkedin.com/jobs/view/billing-team-lead-at-singtel-4399264057; https://sg.linkedin.com/jobs/view/director-cyber-security-governance-risk-and-assurance-at-singtel-4361605318; https://my.linkedin.com/jobs/view/engineer-cloud-infrastructure-virtualization-windows-at-singtel-4377147960; https://my.linkedin.com/jobs/view/manager-billing-management-at-singtel-4408762983; https://sg.linkedin.com/jobs/view/data-and-infrastructure-architect-at-singtel-4417759988; https://my.linkedin.com/jobs/view/associate-director-credit-management-at-singtel-4367132029; https://sg.linkedin.com/jobs/view/associate-director-ai-acceleration-coe-at-singtel-4361356864; https://my.linkedin.com/jobs/view/accounts-payable-executive-at-singtel-4386718596; https://sg.linkedin.com/jobs/view/optical-transmission-network-planning-manager-at-singtel-4408522525; https://my.linkedin.com/jobs/view/finance-executive-capital-management-at-singtel-4408262000,10,100.00,raw/theirstack/data/singapore_telecommunications.json
3,United Overseas Bank,uobgroup.com,TheirStack Job Search API,9403,4636,engineering: 0; design: 0; it: 0; sales: 2; operations: 0; other: 8,10,Greater Kuala Lumpur; Ho Chi Minh City; Jakarta; SG; Singapore,2026-06-12,https://id.linkedin.com/jobs/view/aml-cft-sanctions-senior-at-uob-4399246547; https://id.linkedin.com/jobs/view/personal-banker-jakarta-at-uob-4407313803; https://my.linkedin.com/jobs/view/lead-dlp-analyst-gis-at-uob-4426939452; https://my.linkedin.com/jobs/view/vp2-senior-product-manager-emerging-enterprise-at-uob-4426922316; https://vn.linkedin.com/jobs/view/fraud-authorization-officer-at-uob-4426942459; https://sg.linkedin.com/jobs/view/vice-president-trade-review-manager-business-banking-at-uob-4426933925; https://vn.linkedin.com/jobs/view/fraud-data-analysis-reporting-senior-officer-at-uob-4426938513; https://sg.linkedin.com/jobs/view/aml-cft-sanction-policy-grit-traineeship-at-uob-4426917319; https://my.linkedin.com/jobs/view/senior-officer-gwb-afc-commercial-banking-1-year-contract-at-uob-4325104784; https://my.linkedin.com/jobs/view/wealth-advisor-%E2%80%8B-accelerator-programme-for-experienced-sales-professionals-%E2%80%8B-at-uob-4426951440,10,100.00,raw/theirstack/data/united_overseas_bank.json
4,ST Engineering,stengg.com,TheirStack Job Search API,8353,7018,engineering: 5; design: 0; it: 0; sales: 0; operations: 0; other: 5,10,"Airport Road; Ang Mo Kio; Ang Mo Kio, North East Community Development Council; Central Region; East Region; SG; Singapore; Tuas",2026-06-12,https://sg.linkedin.com/jobs/view/machine-learning-engineer-dsc-sn-at-st-engineering-4427266312; https://sg.linkedin.com/jobs/view/senior-system-engineer-entry-level-candidates-welcome-dsc-ez-at-st-engineering-3876080589; https://sg.linkedin.com/jobs/view/avp-business-excellence-and-sustainability-corporate-development-dsc-hl-at-st-engineering-4406956231; https://au.seek.com/job/92695787?tracking=SHR-WEB-SharedJob-anz-1; https://au.seek.com/job/92683176?tracking=SHR-WEB-SharedJob-anz-1; https://au.seek.com/job/92697556?tracking=SHR-WEB-SharedJob-anz-1; https://au.seek.com/job/92693182?tracking=SHR-WEB-SharedJob-anz-1; https://au.seek.com/job/92699820?tracking=SHR-WEB-SharedJob-anz-1; https://sg.linkedin.com/jobs/view/uiux-ds-ez-at-st-engineering-4292149486; https://au.seek.com/job/92697551?tracking=SHR-WEB-SharedJob-anz-1,10,100.00,raw/theirstack/data/st_engineering.json
5,Toyota Motor Corporation,global.toyota,TheirStack Job Search API,183,0,engineering: 0; design: 0; it: 0; sales: 0; operations: 0; other: 10,10,"Nagoya, Aichi; Stockholm County; Susono, Shizuoka; Tokyo; Toyota, Aichi",2026-03-13,https://jp.linkedin.com/jobs/view/%E9%9B%BB%E5%8B%95%E8%BB%8A%E7%94%A8-%E9%A7%86%E5%8B%95%E3%83%A2%E3%83%BC%E3%82%BF%E3%81%A8%E3%82%B8%E3%82%A7%E3%83%8D%E3%83%AC%E3%83%BC%E3%82%BF%E3%81%AE%E9%96%8B%E7%99%BA%EF%BC%88%E8%A8%AD%E8%A8%88%EF%BC%8C%E7%94%9F%E6%8A%80%EF%BC%89-at-toyota-motor-corporation-4398654086; https://jp.linkedin.com/jobs/view/%E9%9B%BB%E5%8B%95%E8%BB%8A%E7%94%A8-%E9%A7%86%E5%8B%95%E3%83%A2%E3%83%BC%E3%82%BF%E3%81%A8%E3%82%B8%E3%82%A7%E3%83%8D%E3%83%AC%E3%83%BC%E3%82%BF%E3%81%AE%E9%96%8B%E7%99%BA%EF%BC%88%E8%A8%AD%E8%A8%88%EF%BC%8C%E7%94%9F%E6%8A%80%EF%BC%89-at-toyota-motor-corporation-4398640967; https://jp.linkedin.com/jobs/view/dx%E3%81%AB%E3%82%88%E3%82%8B%E3%82%B5%E3%83%97%E3%83%A9%E3%82%A4%E3%83%81%E3%82%A7%E3%83%BC%E3%83%B3%E5%85%A8%E8%88%AC%E3%81%AB%E3%81%8A%E3%81%91%E3%82%8B%E6%A5%AD%E5%8B%99%E5%A4%89%E9%9D%A9%E3%81%AE%E4%BC%81%E7%94%BB%E3%83%BB%E6%8E%A8%E9%80%B2%E3%83%BB%E5%AE%9F%E8%A1%8C-at-toyota-motor-corporation-4398245479; https://jp.linkedin.com/jobs/view/%E8%BB%8A%E4%B8%A1%E3%83%87%E3%83%BC%E3%82%BF%E3%83%BB%E5%93%81%E8%B3%AA%E6%83%85%E5%A0%B1%E3%82%92%E6%B4%BB%E7%94%A8%E3%81%99%E3%82%8B%E3%81%9F%E3%82%81%E3%81%AE%E3%83%87%E3%83%BC%E3%82%BF%E5%88%86%E6%9E%90%E3%81%AE%E4%BB%95%E7%B5%84%E3%81%BF%E3%81%A5%E3%81%8F%E3%82%8A-at-toyota-motor-corporation-4398244356; https://se.linkedin.com/jobs/view/product-planner-at-toyota-motor-corporation-4396949307; https://jp.linkedin.com/jobs/view/%E5%85%A8%E7%A4%BE%E3%83%A2%E3%83%93%E3%83%AA%E3%83%86%E3%82%A3%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%E3%81%AEcx%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%E3%83%9E%E3%83%8D%E3%83%BC%E3%82%B8%E3%83%A3%E3%83%BB%E3%82%BD%E3%83%AA%E3%83%A5%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%A2%E3%83%BC%E3%82%AD%E3%83%86%E3%82%AF%E3%83%88-at-toyota-motor-corporation-4391052966; https://jp.linkedin.com/jobs/view/%E7%A4%BE%E5%86%85%E6%A8%99%E6%BA%96%E3%82%AF%E3%83%A9%E3%82%A6%E3%83%89%E5%9F%BA%E7%9B%A4toro%E3%81%AE%E4%BC%81%E7%94%BB%E3%83%BB%E9%96%8B%E7%99%BA-at-toyota-motor-corporation-4391068074; https://jp.linkedin.com/jobs/view/%E5%85%A8%E7%A4%BE%E3%83%A2%E3%83%93%E3%83%AA%E3%83%86%E3%82%A3%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%E3%81%AEcx%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%E3%83%9E%E3%83%8D%E3%83%BC%E3%82%B8%E3%83%A3%E3%83%BB%E3%82%BD%E3%83%AA%E3%83%A5%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%A2%E3%83%BC%E3%82%AD%E3%83%86%E3%82%AF%E3%83%88-at-toyota-motor-corporation-4391050934; https://jp.linkedin.com/jobs/view/%E8%87%AA%E5%8B%95%E8%BB%8A%E5%A1%97%E8%A3%85%E8%A3%BD%E9%80%A0%E6%8A%80%E8%A1%93%E3%82%A8%E3%83%B3%E3%82%B8%E3%83%8B%E3%82%A2-at-toyota-motor-corporation-4387084585; https://jobs.starfinder.se/job/470350,10,100.00,raw/theirstack/data/toyota_motor_corporation.json
6,Sony Group Corporation,sony.com,TheirStack Job Search API,2547,46,engineering: 0; design: 0; it: 0; sales: 0; operations: 0; other: 10,10,"Ciudad de México, CDMX; HK; Hoofddorp; Hoofddorp, North Holland; New York; San Diego, CA 92127; Thành phố Hồ Chí Minh; Washington, DC; 上海市",2026-06-09,https://www.linkedin.com/jobs/view/royalty-analyst-peanuts-worldwide-at-sony-4425322554; https://sonyglobal.wd1.myworkdayjobs.com/en-US/SonyGlobalCareers/job/San-Diego/Senior-Strategic-Human-Resources-Business-Partner_JR-119263-1; https://sonyglobal.wd1.myworkdayjobs.com/en-US/SonyGlobalCareers/job/Washington-DC/Senior-Manager--External-Relations_JR-119262; https://sonyglobal.wd1.myworkdayjobs.com/en-US/SonyGlobalCareers/job/Ho-Chi-Minh/Senior-Marcom-Executive_JR-119250; https://sonyglobal.wd1.myworkdayjobs.com/en-US/SonyGlobalCareers/job/Ho-Chi-Minh/Marcom-Executive_JR-119249; https://sonyglobal.wd1.myworkdayjobs.com/en-US/SonyGlobalCareers/job/Hoofddorp/Channel-Marketing-Specialist_JR-119248-1; https://nl.linkedin.com/jobs/view/channel-marketing-specialist-at-sony-europe-4427548167; https://hk.linkedin.com/jobs/view/2026-sony-campus-ambassador%EF%BC%88for-university-students-project-based%EF%BC%89-at-sony-4426602535; https://sonyglobal.wd1.myworkdayjobs.com/en-US/SonyGlobalCareers/job/Shanghai/Marketing-Specialist_JR-119235; https://sonyglobal.wd1.myworkdayjobs.com/en-US/SonyGlobalCareers/job/Santa-Fe-CDMX-Mxico/Subgerente-Marketplace_JR-119242,10,100.00,raw/theirstack/data/sony_group_corporation.json
7,Samsung Electronics,samsung.com,TheirStack Job Search API,18830,894,engineering: 2; design: 0; it: 1; sales: 2; operations: 1; other: 4,10,"Austin, TX 78754; Chertsey; Ho Chi Minh City, Ho Chi Minh City; Paris, Île-de-; Plano, TX; Staines-Upon-Thames, England; Taylor, TX 76574; Thành phố Hồ Chí Minh",2026-06-12,https://uk.linkedin.com/jobs/view/ai-research-intern-knowledge-graphs-at-samsung-electronics-uk-4409015989; https://sec.wd3.myworkdayjobs.com/en-US/Samsung_Careers/job/1530-FM-973-Taylor-TX-USA/T1-Manufacturing-Quality---Reliability--MQR--Engineer_R117845; https://vn.linkedin.com/jobs/view/hrbp-manager-at-samsung-southeast-asia-oceania-4427902411; https://fr.linkedin.com/jobs/view/alternance-technico-commercial-s%C3%A9dentaire-climatisation-h-f-at-samsung-electronics-france-4427951053; https://vn.linkedin.com/jobs/view/head-of-online-operation-strategy-korean-only-at-samsung-southeast-asia-oceania-4418933872; https://sec.wd3.myworkdayjobs.com/en-US/Samsung_Careers/job/12100-Samsung-Blvd-Austin-TX-USA/HVAC-Project-Manager_R117846; https://sec.wd3.myworkdayjobs.com/en-US/Samsung_Careers/job/12100-Samsung-Blvd-Austin-TX-USA/Infrastructure-Risk-Prevention-Technician_R117051-1; https://sec.wd3.myworkdayjobs.com/en-US/Samsung_Careers/job/BITEXCO-Financial-Tower-Ho-Chi-Minh-Vietnam/HRBP-Manager_R117848; https://sec.wd3.myworkdayjobs.com/en-US/Samsung_Careers/job/Samsung-House-2000-Hillswood-Drive-Chertsey-United-Kingdom/Sales-Innovation-Director_R117583-2; https://www.linkedin.com/jobs/view/manager-payroll-tax-audit-lead-at-samsung-electronics-america-4370835624,10,100.00,raw/theirstack/data/samsung_electronics.json
8,SK Hynix,skhynix.com,TheirStack Job Search API,558,0,engineering: 5; design: 0; it: 0; sales: 3; operations: 2; other: 0,10,"San Jose, CA",2026-05-19,https://job-boards.greenhouse.io/skhynixamerica/jobs/5254535008?gh_src=prlv4oed8us; https://job-boards.greenhouse.io/skhynixamerica/jobs/5254529008?gh_src=63zujrhg8us; https://job-boards.greenhouse.io/skhynixamerica/jobs/5254535008; https://job-boards.greenhouse.io/skhynixamerica/jobs/5254529008; https://job-boards.greenhouse.io/skhynixamerica/jobs/5247283008; https://job-boards.greenhouse.io/skhynixamerica/jobs/5247283008?gh_src=q26ipt438us; https://www.linkedin.com/jobs/view/business-development-manager-sr-manager-at-sk-hynix-america-4379602291; https://job-boards.greenhouse.io/skhynixamerica/jobs/5232623008; https://job-boards.greenhouse.io/skhynixamerica/jobs/5232623008?gh_src=z9ul4gbb8us; https://www.linkedin.com/jobs/view/ai-hpc-system-architect-at-sk-hynix-america-4404223780,10,100.00,raw/theirstack/data/sk_hynix.json
9,Infosys,infosys.com,TheirStack Job Search API,65567,593,engineering: 3; design: 0; it: 1; sales: 0; operations: 0; other: 6,10,"Bengaluru East, Karnataka; Bengaluru, Delhi, NCR, Pune; Bengaluru, Hyderabad, Pune; London, England; Mississauga, ON; Richardson, TX; SG; San Francisco, CA; Sydney, New South Wales; São Paulo, São Paulo",2026-06-12,https://br.linkedin.com/jobs/view/data-engineer-aws-databricks-python-at-infosys-4425343594; https://in.linkedin.com/jobs/view/gcp-power-bi-consultant-at-infosys-4397678306; https://digitalcareers.infosys.com/global-careers/company-job/description/reqid/149349BR?Codes=Indeed; https://uk.linkedin.com/jobs/view/transformation-programme-manager-financial-services-insurance-at-infosys-consulting-4427999509; https://digitalcareers.infosys.com/global-careers/company-job/description/reqid/149248BR?Codes=Indeed; https://www.naukri.com/job-listings-performance-tester-all-location-infosys-pune-bengaluru-delhi-ncr-4-to-9-years-120626024310; https://www.naukri.com/job-listings-etl-test-pan-india-sd-infosys-hyderabad-pune-bengaluru-4-to-9-years-120626024340; https://digitalcareers.infosys.com/global-careers/company-job/description/reqid/149299BR?Codes=Indeed; https://au.linkedin.com/jobs/view/net-architect-at-infosys-4417104434; https://sg.linkedin.com/jobs/view/senior-java-consultant-at-infosys-4424859263,10,100.00,raw/theirstack/data/infosys.json
